Customer Code,# of Receivers,Profit per Receiver,Profit per Receiver Bucket,# of PPV Orders (last 12 Months),Profit per PPV order,Profit per PPV order Bucket,DVR Service,DVR Service Profit,DVR Service Profit Bucket,HD Programming Service,HD Service Profit,HD Service Profit Bucket,Total Profit,Total Profit Buckets,Responder Rating,Est. Mortgage Loan Amount,Dwelling Type,Photography,Gardening,Cooking,Gourmet Food,Home Business,Readers,New Age,Upscale,Computer,Age,Marital Status,Education,Household Income,Gender,Homeowner,Number of Total Rooms,Customer Count,Age Group,Dwelling Type Details,Education Status Details,Cluster
87,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,115612,2,0,1,0,1,0,1,1,0,0,96,0,4,30000,0,0,5,1,70-Above,Single Family,Graduate School,1
88,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,118161,4,0,0,0,0,0,0,0,0,0,39,0,2,30000,0,0,5,1,35-44,Unknown,Some College,1
89,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,4,166216,2,0,0,0,0,0,1,0,0,1,62,1,1,30000,0,1,5,1,55-69,Single Family,High School,1
90,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,102869,2,0,0,0,0,0,0,0,0,0,44,0,1,30000,0,0,5,1,35-44,Single Family,High School,1
91,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,102869,2,0,0,0,0,0,0,0,0,0,32,0,1,30000,0,0,5,1,25-34,Single Family,High School,1
92,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,113063,3,0,1,0,0,0,1,0,1,0,77,0,1,30000,0,1,5.96,1,70-Above,Condo,High School,1
93,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,97771,2,0,1,1,0,0,1,0,0,0,59,0,1,30000,0,0,6,1,55-69,Single Family,High School,1
94,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,97135,2,0,0,0,0,1,0,0,1,0,52,0,2,30000,0,0,6,1,45-54,Single Family,Some College,1
95,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,107966,4,0,0,0,0,0,0,0,0,0,46,1,1,30000,0,0,6,1,45-54,Unknown,High School,1
96,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,100320,2,0,0,0,0,0,0,0,0,0,42,0,1,30000,0,0,6.18,1,35-44,Single Family,High School,1
97,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,110515,2,0,0,0,0,0,0,0,0,0,40,0,1,30000,0,0,6.25,1,35-44,Single Family,High School,1
98,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,107966,4,0,0,0,0,0,0,0,0,0,38,0,3,30000,0,0,9,1,35-44,Unknown,Completed College,1
99,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,107966,4,0,0,0,0,0,0,0,0,0,41,0,2,30000,0,0,6,1,35-44,Unknown,Some College,1
